Submission ID,Respondent ID,Submitted at,Gender,Age,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?
P2VOxB,ZVPdXo,2024-03-29 6:06:12,Female,22,Human Created,7,8,Human Created,7,7,Human Created,7,7,AI Generated,6,6,AI Generated,6,5,AI Generated,7,5,Human Created,7,5,Human Created,7,6,Human Created,6,5,Human Created,6,6,Human Created,6,6,AI Generated,5,5,AI Generated,6,5,Human Created,6,5,Human Created,6,6,AI Generated,6,5,AI Generated,6,6,Human Created,5,5,Human Created,6,6,Human Created,6,6
r0zP7R,B18Go5,2024-03-29 6:07:49,Female,24,Human Created,10,10,Human Created,8,9,Human Created,9,9,AI Generated,6,6,Human Created,8,8,Human Created,9,9,Human Created,9,9,Human Created,9,9,Human Created,9,9,Human Created,9,9,Human Created,8,8,Human Created,9,9,Human Created,9,9,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,7,7,Human Created,10,10,Human Created,9,9,Human Created,6,6
LERW7G,zzWKV1,2024-03-29 6:11:25,Male,24,AI Generated,10,9,Human Created,7,7,Human Created,9,6,Human Created,9,8,AI Generated,8,6,Human Created,9,9,Human Created,7,4,AI Generated,8,9,Human Created,6,5,Human Created,8,10,AI Generated,6,8,Human Created,7,10,Human Created,9,7,Human Created,5,4,Human Created,7,9,AI Generated,7,5,Human Created,8,9,AI Generated,8,7,Human Created,9,8,AI Generated,6,8
OjO0PM,5kELRQ,2024-03-29 7:28:08,Female,25,Human Created,7,8,AI Generated,9,8,AI Generated,9,8,Human Created,8,9,AI Generated,9,9,Human Created,9,9,AI Generated,8,8,AI Generated,8,8,AI Generated,8,8,Human Created,8,8,Human Created,7,8,Human Created,9,9,Human Created,9,10,AI Generated,9,8,Human Created,8,9,AI Generated,9,8,Human Created,8,8,AI Generated,9,8,Human Created,9,9,AI Generated,9,8
DXgDNR,B18QB5,2024-03-29 7:58:29,Male,23,Human Created,10,6,AI Generated,10,5,Human Created,10,8,Human Created,7,8,AI Generated,10,10,Human Created,10,10,Human Created,10,2,Human Created,10,8,Human Created,10,5,AI Generated,10,7,Human Created,10,10,Human Created,10,10,Human Created,10,7,Human Created,10,7,AI Generated,10,8,Human Created,10,8,AI Generated,10,9,AI Generated,10,10,Human Created,10,5,Human Created,10,6
z0Pg88,yye1k8,2024-03-29 10:51:14,Male,20,AI Generated,7,6,Human Created,9,9,Human Created,10,8,AI Generated,7,10,AI Generated,10,8,Human Created,9,4,AI Generated,10,10,AI Generated,10,8,AI Generated,9,8,Human Created,10,9,Human Created,10,9,Human Created,10,9,AI Generated,10,9,AI Generated,10,7,Human Created,10,8,AI Generated,10,6,Human Created,10,9,AI Generated,10,7,Human Created,10,8,AI Generated,10,7
P2MRR1,PEvgAB,2024-03-30 4:36:27,Male,27,Human Created,9,9,AI Generated,10,9,Human Created,6,8,Human Created,8,7,AI Generated,8,6,Human Created,10,6,Human Created,5,9,AI Generated,7,10,AI Generated,4,8,Human Created,7,7,AI Generated,8,9,Human Created,8,7,Human Created,9,9,Human Created,10,8,AI Generated,9,8,AI Generated,9,9,Human Created,8,7,Human Created,10,6,Human Created,10,9,AI Generated,8,7
7JBeVL,qBJ5zO,2024-03-30 11:43:12,Male,24,AI Generated,8,10,AI Generated,10,9,Human Created,10,9,AI Generated,10,8,Human Created,10,10,AI Generated,10,10,Human Created,9,9,Human Created,9,9,AI Generated,10,10,Human Created,9,8,AI Generated,10,7,Human Created,9,9,Human Created,10,10,AI Generated,10,1,Human Created,10,8,AI Generated,10,8,Human Created,10,10,Human Created,9,9,Human Created,10,10,AI Generated,10,8
k0DpJj,XG85yY,2024-03-30 11:45:31,Male,20,Human Created,5,7,AI Generated,7,5,Human Created,8,8,Human Created,8,8,AI Generated,4,7,Human Created,7,4,Human Created,5,5,Human Created,7,5,AI Generated,7,5,Human Created,7,7,Human Created,8,9,Human Created,8,8,AI Generated,8,6,AI Generated,8,4,Human Created,8,7,AI Generated,9,6,Human Created,9,9,AI Generated,5,7,Human Created,8,8,Human Created,4,5
b2BXbe,B1jp4R,2024-03-30 13:02:20,Female,22,AI Generated,7,9,AI Generated,10,8,Human Created,8,9,Human Created,8,9,AI Generated,10,8,AI Generated,7,9,AI Generated,9,7,AI Generated,10,9,AI Generated,10,7,AI Generated,10,6,Human Created,9,9,AI Generated,10,7,Human Created,5,9,AI Generated,8,8,AI Generated,6,9,AI Generated,9,9,Human Created,7,10,AI Generated,10,6,Human Created,8,9,AI Generated,10,10
v07QQg,B1jZK5,2024-03-30 15:50:34,Male,25,Human Created,7,6,Human Created,7,7,AI Generated,5,5,AI Generated,8,8,AI Generated,8,8,Human Created,9,9,Human Created,8,8,Human Created,5,5,AI Generated,5,5,Human Created,8,8,Human Created,6,6,AI Generated,6,6,Human Created,6,6,AI Generated,6,6,AI Generated,7,7,AI Generated,5,5,Human Created,6,6,AI Generated,8,8,Human Created,7,7,Human Created,9,9
DXrrrp,JReLQ7,2024-03-30 16:06:33,Female,19,Human Created,9,7,AI Generated,8,7,AI Generated,7,5,Human Created,7,6,AI Generated,8,6,Human Created,7,6,Human Created,7,6,Human Created,7,4,Human Created,7,3,Human Created,7,4,AI Generated,6,4,AI Generated,8,6,Human Created,8,5,AI Generated,6,2,AI Generated,4,5,AI Generated,4,4,AI Generated,7,8,AI Generated,7,6,Human Created,6,8,AI Generated,7,6
8joddY,2kl7eL,2024-03-30 19:08:59,Male,24,AI Generated,10,10,AI Generated,10,10,Human Created,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,9,Human Created,8,8,AI Generated,10,10,AI Generated,9,8,Human Created,9,9,Human Created,9,8,AI Generated,10,8,Human Created,9,10,AI Generated,8,7,AI Generated,9,8,Human Created,9,8,Human Created,9,7,Human Created,8,10,Human Created,9,9,AI Generated,8,7
GYxXRz,KoaJ8D,2024-03-31 9:35:03,Female,26,AI Generated,8,7,Human Created,5,4,AI Generated,8,3,Human Created,7,8,AI Generated,9,9,AI Generated,9,7,Human Created,10,8,Human Created,9,10,AI Generated,7,3,Human Created,6,8,AI Generated,8,5,AI Generated,7,4,Human Created,6,7,Human Created,8,6,Human Created,7,10,AI Generated,8,2,AI Generated,9,7,AI Generated,8,8,Human Created,8,10,Human Created,7,8
GYxqRo,vBdxy0,2024-03-31 9:53:00,Male,23,AI Generated,10,10,AI Generated,10,10,Human Created,10,10,Human Created,10,10,AI Generated,10,10,Human Created,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,AI Generated,10,10,AI Generated,10,10,Human Created,10,10,AI Generated,10,10,Human Created,10,10,AI Generated,10,10,Human Created,10,10,AI Generated,10,10
2OElOe,gAkNQ1,2024-03-31 9:57:24,Male,26,Human Created,8,9,AI Generated,8,9,AI Generated,9,10,Human Created,8,7,AI Generated,9,9,Human Created,8,8,Human Created,8,8,Human Created,7,9,AI Generated,8,9,AI Generated,9,9,Human Created,8,10,Human Created,7,10,Human Created,8,9,Human Created,8,8,AI Generated,9,9,AI Generated,8,8,Human Created,8,9,Human Created,9,10,Human Created,8,8,Human Created,8,8
92qxv1,LG6apv,2024-03-31 11:26:57,Female,24,Human Created,7,7,AI Generated,8,8,AI Generated,7,8,AI Generated,9,9,AI Generated,8,8,Human Created,9,9,Human Created,8,8,Human Created,8,8,Human Created,9,9,AI Generated,8,9,Human Created,8,8,Human Created,9,9,AI Generated,7,9,Human Created,8,8,Human Created,8,8,Human Created,8,8,Human Created,9,8,Human Created,8,8,AI Generated,8,8,AI Generated,7,8
YVja85,ZVZqOz,2024-03-31 19:01:14,Male,26,Human Created,8,9,AI Generated,8,8,Human Created,9,9,Human Created,8,8,AI Generated,8,8,AI Generated,8,8,Human Created,9,9,Human Created,9,9,AI Generated,9,9,AI Generated,9,9,AI Generated,9,9,AI Generated,9,9,Human Created,10,10,AI Generated,6,6,Human Created,8,8,AI Generated,7,7,AI Generated,7,7,AI Generated,6,6,Human Created,9,9,AI Generated,8,4
zWjWE8,4kzbEd,2024-04-01 9:58:24,Female,22,AI Generated,4,10,Human Created,3,9,Human Created,4,9,Human Created,4,8,Human Created,7,8,Human Created,5,8,Human Created,4,8,AI Generated,5,8,AI Generated,7,8,Human Created,8,8,Human Created,5,9,AI Generated,4,9,Human Created,4,8,AI Generated,9,9,Human Created,7,9,AI Generated,9,9,Human Created,4,9,AI Generated,9,9,AI Generated,4,9,AI Generated,9,9
p4dxxV,dAz6pz,2024-04-01 15:01:07,Male,23,AI Generated,5,5,AI Generated,9,4,AI Generated,5,6,Human Created,8,10,AI Generated,2,8,Human Created,7,7,Human Created,7,6,AI Generated,6,5,Human Created,5,7,Human Created,7,8,AI Generated,6,7,AI Generated,7,5,Human Created,7,7,AI Generated,5,5,AI Generated,8,7,Human Created,7,6,AI Generated,8,4,AI Generated,8,5,Human Created,7,9,Human Created,6,4
gWeMJO,xQzNEd,2024-04-01 16:29:52,Female,22,AI Generated,5,6,Human Created,5,2,Human Created,5,4,Human Created,5,8,Human Created,6,7,AI Generated,4,2,Human Created,5,3,Human Created,5,5,AI Generated,10,4,Human Created,5,6,Human Created,5,5,Human Created,5,6,AI Generated,10,8,AI Generated,10,2,Human Created,8,8,AI Generated,10,5,Human Created,9,10,AI Generated,10,10,Human Created,8,8,AI Generated,10,4
yeNjyg,OPEVZY,2024-04-01 18:27:49,Male,26,Human Created,7,8,AI Generated,7,9,AI Generated,8,9,Human Created,8,9,Human Created,7,9,AI Generated,9,9,Human Created,8,9,Human Created,10,10,AI Generated,7,7,Human Created,9,8,Human Created,10,10,Human Created,9,10,Human Created,10,10,AI Generated,6,8,Human Created,8,10,Human Created,9,10,AI Generated,10,10,AI Generated,7,7,AI Generated,9,6,Human Created,8,7
VoQ8Jg,zzb7Ag,2024-04-02 3:52:16,Female,21,AI Generated,10,10,AI Generated,10,10,AI Generated,9,9,AI Generated,9,9,AI Generated,9,9,Human Created,9,9,Human Created,9,9,Human Created,9,9,Human Created,9,9,AI Generated,9,9,Human Created,9,9,AI Generated,9,9,Human Created,9,9,AI Generated,9,9,AI Generated,9,9,AI Generated,10,10,Human Created,8,8,AI Generated,10,10,Human Created,9,9,AI Generated,10,10